Person,userName,fats,carbs,vitamins,proteins,water,Date
Ankush Deora,ank,20,80,10,0,0.1,11/16/2017
Ankush Deora,ank,20,50,10,0,0.1,11/17/2017
Ankush Deora,ank,30,90,20,0,0.1,11/18/2017
Ankush Deora,ank,30,80,20,0,0.5,11/19/2017
Rajat Burmi,rb,20,70,20,0,0.5,11/1/2017
Rajat Burmi,rb,0,120,10,10,0.5,11/2/2017
Rajat Burmi,rb,12,140,10,10,0.5,11/3/2017
Rajat Burmi,rb,13,50,20,10,0.5,11/4/2017
Rajat Burmi,rb,13,80,20,0,0.5,11/5/2017
Rajat Burmi,rb,13,80,0,0,0.5,11/6/2017
Rajat Burmi,rb,13,100,0,0,0.5,11/7/2017
Rajat Burmi,rb,13,100,0,0,0.5,11/8/2017
Rajat Burmi,rb,16,100,0,10,0.8,11/9/2017
Rajat Burmi,rb,16,100,0,10,0.3,11/10/2017
Rajat Burmi,rb,16,100,0,10,0.4,11/11/2017
Rajat Burmi,rb,16,40,0,10,0.3,11/12/2017
Rajat Burmi,rb,16,30,10,20,0.2,11/13/2017
Rajat Burmi,rb,16,30,10,20,0.1,11/14/2017
Rajat Burmi,rb,16,50,20,20,0.1,11/15/2017
Rajat Burmi,rb,16,20,20,20,0.1,11/16/2017
Rajat Burmi,rb,16,36,20,20,0.1,11/17/2017
Rajat Burmi,rb,16,37,10,10,0.1,11/18/2017
Rajat Burmi,rb,16,44,10,0,0.5,11/19/2017
Dhruvi Jain,dj,20,80,20,10,0.5,11/1/2017
Dhruvi Jain,dj,30,90,20,10,0.5,11/2/2017
Dhruvi Jain,dj,50,120,0,10,0.5,11/3/2017
Dhruvi Jain,dj,50,70,0,10,0.5,11/4/2017
Dhruvi Jain,dj,70,80,0,10,0.5,11/5/2017
Dhruvi Jain,dj,10,90,0,10,0.5,11/6/2017
Dhruvi Jain,dj,0,80,0,10,0.5,11/7/2017
Dhruvi Jain,dj,0,70,0,10,0.5,11/8/2017
Dhruvi Jain,dj,0,100,20,10,0.8,11/9/2017
Dhruvi Jain,dj,6,90,20,20,0.3,11/10/2017
Dhruvi Jain,dj,10,70,20,20,0.4,11/11/2017
Dhruvi Jain,dj,7,70,20,20,0.3,11/12/2017
Dhruvi Jain,dj,8,70,20,0,0.2,11/13/2017
Dhruvi Jain,dj,10,80,10,0,0.1,11/14/2017
Dhruvi Jain,dj,20,90,10,55,0.1,11/15/2017
Dhruvi Jain,dj,20,80,10,0,0.1,11/16/2017
Dhruvi Jain,dj,20,50,10,0,0.1,11/17/2017
Dhruvi Jain,dj,30,90,20,0,0.1,11/18/2017
Dhruvi Jain,dj,30,80,20,0,0.5,11/19/2017
Devanshi Gariba,dg,20,100,20,0,0.5,11/1/2017
Devanshi Gariba,dg,20,80,20,10,0.5,11/2/2017
Devanshi Gariba,dg,30,90,30,10,0.5,11/3/2017
Devanshi Gariba,dg,50,120,0,10,0.5,11/4/2017
Devanshi Gariba,dg,50,70,0,10,0.5,11/5/2017
Devanshi Gariba,dg,100,80,40,20,0.5,11/6/2017
Devanshi Gariba,dg,10,90,0,10,0.5,11/7/2017
Devanshi Gariba,dg,0,80,0,10,0.5,11/8/2017
Devanshi Gariba,dg,0,70,0,10,0.5,11/9/2017
Devanshi Gariba,dg,0,100,20,10,0.8,11/10/2017
Devanshi Gariba,dg,6,90,20,20,0.3,11/11/2017
Devanshi Gariba,dg,10,70,20,20,0.4,11/12/2017
Devanshi Gariba,dg,7,70,20,20,0.3,11/13/2017
Devanshi Gariba,dg,8,70,20,0,0.2,11/14/2017
Devanshi Gariba,dg,10,80,10,0,0.1,11/15/2017
Devanshi Gariba,dg,20,90,10,60,0.1,11/16/2017
Devanshi Gariba,dg,20,80,10,0,0.1,11/17/2017
Devanshi Gariba,dg,20,50,10,0,0.1,11/18/2017
Devanshi Gariba,dg,30,90,20,0,0.1,11/19/2017
Rutva Rajdev,rr,30,80,20,0,0.5,11/1/2017
Rutva Rajdev,rr,20,70,20,0,0.5,11/2/2017
Rutva Rajdev,rr,0,5,7,2,0.4,11/3/2017
Rutva Rajdev,rr,0,5,4,2,0.4,11/4/2017
Rutva Rajdev,rr,2,5,7,2,0.4,11/5/2017
Rutva Rajdev,rr,0,5,9,2,0.4,11/6/2017
Rutva Rajdev,rr,22,5,7,2,0.4,11/7/2017
Rutva Rajdev,rr,10,9,7,2,0.4,11/8/2017
Rutva Rajdev,rr,0,5,8,2,0.4,11/9/2017
Rutva Rajdev,rr,6,5,7,2,0.4,11/10/2017
Rutva Rajdev,rr,0,5,7,2,0.4,11/11/2017
Rutva Rajdev,rr,0,4,7,2,0.4,11/12/2017
Rutva Rajdev,rr,3,5,9,2,0.4,11/13/2017
Rutva Rajdev,rr,0,5,7,22,0.4,11/14/2017
Rutva Rajdev,rr,0,4,8,22,0.4,11/15/2017
Rutva Rajdev,rr,0,5,7,2,0.4,11/16/2017
Rutva Rajdev,rr,5,5,7,2,0.4,11/17/2017
Rutva Rajdev,rr,0,8,7,2,0.4,11/18/2017
Rutva Rajdev,rr,12,5,7,2,0.4,11/19/2017
Driti Bafna,db,10,6,7,3,0.6,11/1/2017
Driti Bafna,db,11,6,8,3,0.6,11/2/2017
Driti Bafna,db,19,6,9,3,0.6,11/3/2017
Driti Bafna,db,20,6,7,7,0.6,11/4/2017
Driti Bafna,db,30,7,8,3,0.6,11/5/2017
Driti Bafna,db,40,7,6,7,0.6,11/6/2017
Driti Bafna,db,29,7,7,3,0.6,11/7/2017
Driti Bafna,db,30,7,8,7,0.6,11/8/2017
Driti Bafna,db,0,120,9,3,0.6,11/9/2017
Driti Bafna,db,0,20,6,7,0.6,11/10/2017
Driti Bafna,db,0,130,7,5,0.6,11/11/2017
Driti Bafna,db,15,50,8,5,0.6,11/12/2017
Driti Bafna,db,20,90,9,5,0.6,11/13/2017
Driti Bafna,db,20,80,9,6,0.6,11/14/2017
Driti Bafna,db,30,70,8,2,0.6,11/15/2017
Driti Bafna,db,20,30,7,5,0.6,11/16/2017
Driti Bafna,db,20,30,6,2,0.6,11/17/2017
Driti Bafna,db,30,40,9,5,0.6,11/18/2017
Driti Bafna,db,40,30,9,2,0.6,11/19/2017
Shilpa Bafna,sb,0,30,2,2,0.5,11/1/2017
Shilpa Bafna,sb,0,20,3,2,0.5,11/2/2017
Shilpa Bafna,sb,0,20,4,2,0.5,11/3/2017
Shilpa Bafna,sb,0,10,5,2,0.5,11/4/2017
Shilpa Bafna,sb,6,15,6,3,0.5,11/5/2017
Shilpa Bafna,sb,9,20,7,3,0.5,11/6/2017
Shilpa Bafna,sb,6,30,2,3,0.5,11/7/2017
Shilpa Bafna,sb,6,25,3,7,0.5,11/8/2017
Shilpa Bafna,sb,9,10,4,3,0.5,11/9/2017
Shilpa Bafna,sb,8,10,5,7,0.5,11/10/2017
Shilpa Bafna,sb,6,10,8,3,0.5,11/11/2017
Shilpa Bafna,sb,8,11,4,7,0.5,11/12/2017
Shilpa Bafna,sb,9,20,4,3,0.5,11/13/2017
Shilpa Bafna,sb,10,15,4,7,0.5,11/14/2017
Shilpa Bafna,sb,0,11,10,5,0.5,11/15/2017
Shilpa Bafna,sb,0,11,2,5,0.5,11/16/2017
Shilpa Bafna,sb,6,11,6,5,0.5,11/17/2017
Shilpa Bafna,sb,4,11,9,6,0.5,11/18/2017
Shilpa Bafna,sb,1,16,6,2,0.5,11/19/2017
Paras Bafna,pb,40,100,5,5,0.4,11/1/2017
Paras Bafna,pb,30,100,6,2,0.4,11/2/2017
Paras Bafna,pb,50,20,21,5,0.4,11/3/2017
Paras Bafna,pb,30,20,11,2,0.4,11/4/2017
Paras Bafna,pb,40,10,6,2,0.4,11/5/2017
Paras Bafna,pb,20,11,7,3,0.4,11/6/2017
Paras Bafna,pb,0,14,4,4,0.4,11/7/2017
Paras Bafna,pb,50,100,9,2,0.4,11/8/2017
Paras Bafna,pb,10,30,3,3,0.4,11/9/2017
Paras Bafna,pb,10,10,5,2,0.4,11/10/2017
Paras Bafna,pb,20,10,6,3,0.4,11/11/2017
Paras Bafna,pb,30,11,7,2,0.4,11/12/2017
Paras Bafna,pb,20,22,8,1,0.4,11/13/2017
Paras Bafna,pb,40,22,9,5,0.4,11/14/2017
Paras Bafna,pb,20,11,3,6,0.4,11/15/2017
Paras Bafna,pb,30,22,0,4,0.4,11/16/2017
Paras Bafna,pb,20,30,0,2,0.4,11/17/2017
Paras Bafna,pb,20,20,0,1,0.4,11/18/2017
Paras Bafna,pb,10,20,3,8,0.4,11/19/2017
Dimple Mehta,dm,30,80,20,0,0.6,11/1/2017
Dimple Mehta,dm,20,70,20,0,0.6,11/2/2017
Dimple Mehta,dm,0,5,7,2,0.6,11/3/2017
Dimple Mehta,dm,0,5,4,2,0.6,11/4/2017
Dimple Mehta,dm,2,5,7,2,0.6,11/5/2017
Dimple Mehta,dm,0,5,9,2,0.6,11/6/2017
Dimple Mehta,dm,22,5,7,2,0.6,11/7/2017
Dimple Mehta,dm,10,9,7,2,0.6,11/8/2017
Dimple Mehta,dm,0,5,8,2,0.6,11/9/2017
Dimple Mehta,dm,6,5,7,2,0.6,11/10/2017
Dimple Mehta,dm,0,5,7,2,0.6,11/11/2017
Dimple Mehta,dm,0,4,7,2,0.6,11/12/2017
Dimple Mehta,dm,3,5,9,2,0.6,11/13/2017
Dimple Mehta,dm,0,5,7,22,0.6,11/14/2017
Dimple Mehta,dm,0,4,8,22,0.6,11/15/2017
Dimple Mehta,dm,0,5,7,2,0.6,11/16/2017
Dimple Mehta,dm,5,5,7,2,0.6,11/17/2017
Dimple Mehta,dm,0,8,7,2,0.6,11/18/2017
Dimple Mehta,dm,12,5,7,2,0.6,11/19/2017
Riya Talesara,rt,10,60,2,1,0.7,11/1/2017
Riya Talesara,rt,10,0,6,2,0.7,11/2/2017
Riya Talesara,rt,11,10,10,3,0.7,11/3/2017
Riya Talesara,rt,1,120,11,4,0.7,11/4/2017
Riya Talesara,rt,33,30,12,1,0.7,11/5/2017
Riya Talesara,rt,40,20,13,2,0.7,11/6/2017
Riya Talesara,rt,30,50,14,3,0.7,11/7/2017
Riya Talesara,rt,20,20,5,4,0.7,11/8/2017
Riya Talesara,rt,20,10,6,5,0.7,11/9/2017
Riya Talesara,rt,50,0,6,6,0.7,11/10/2017
Riya Talesara,rt,20,10,8,3,0.7,11/11/2017
Riya Talesara,rt,10,100,9,4,0.7,11/12/2017
Riya Talesara,rt,11,80,7,2,0.7,11/13/2017
Riya Talesara,rt,11,90,8,3,0.7,11/14/2017
Riya Talesara,rt,11,60,11,2,0.7,11/15/2017
Riya Talesara,rt,12,30,11,3,0.7,11/16/2017
Riya Talesara,rt,12,20,12,2,0.7,11/17/2017
Riya Talesara,rt,18,20,13,5,0.7,11/18/2017
Riya Talesara,rt,20,40,7,6,0.7,11/19/2017
Romil Chauhan,rc,20,100,20,0,0.5,11/1/2017
Romil Chauhan,rc,20,80,20,10,0.5,11/2/2017
Romil Chauhan,rc,30,90,30,10,0.5,11/3/2017
Romil Chauhan,rc,50,120,0,10,0.5,11/4/2017
Romil Chauhan,rc,50,70,0,10,0.5,11/5/2017
Romil Chauhan,rc,100,80,40,20,0.5,11/6/2017
Romil Chauhan,rc,10,90,0,10,0.5,11/7/2017
Romil Chauhan,rc,0,80,0,10,0.5,11/8/2017
Romil Chauhan,rc,0,70,0,10,0.8,11/9/2017
Romil Chauhan,rc,0,100,20,10,0.3,11/10/2017
Romil Chauhan,rc,6,90,20,20,0.4,11/11/2017
Romil Chauhan,rc,10,70,20,20,0.3,11/12/2017
Romil Chauhan,rc,7,70,20,20,0.2,11/13/2017
Romil Chauhan,rc,8,70,20,0,0.1,11/14/2017
Romil Chauhan,rc,10,80,10,0,0.1,11/15/2017
Romil Chauhan,rc,20,90,10,60,0.1,11/16/2017
Romil Chauhan,rc,20,80,10,0,0.1,11/17/2017
Romil Chauhan,rc,20,50,10,0,0.1,11/18/2017
Romil Chauhan,rc,30,90,20,0,0.5,11/19/2017
Kaushik Chauhan,kc,30,80,20,0,0.5,11/1/2017
Kaushik Chauhan,kc,20,70,20,0,0.5,11/2/2017
Kaushik Chauhan,kc,0,5,7,2,0.5,11/3/2017
Kaushik Chauhan,kc,0,5,4,2,0.5,11/4/2017
Kaushik Chauhan,kc,2,5,7,2,0.5,11/5/2017
Kaushik Chauhan,kc,0,5,9,2,0.5,11/6/2017
Kaushik Chauhan,kc,22,5,7,2,0.5,11/7/2017
Kaushik Chauhan,kc,10,9,7,2,0.5,11/8/2017
Kaushik Chauhan,kc,0,5,8,2,0.8,11/9/2017
Kaushik Chauhan,kc,6,5,7,2,0.3,11/10/2017
Kaushik Chauhan,kc,0,5,7,2,0.4,11/11/2017
Kaushik Chauhan,kc,0,4,7,2,0.3,11/12/2017
Kaushik Chauhan,kc,3,5,9,2,0.2,11/13/2017
Kaushik Chauhan,kc,0,5,7,22,0.1,11/14/2017
Kaushik Chauhan,kc,0,4,8,22,0.1,11/15/2017
Kaushik Chauhan,kc,0,5,7,2,0.1,11/16/2017
Kaushik Chauhan,kc,5,5,7,2,0.1,11/17/2017
Kaushik Chauhan,kc,0,8,7,2,0.1,11/18/2017
Kaushik Chauhan,kc,12,5,7,2,0.5,11/19/2017
Yash Palrecha,yp,40,100,5,5,0.4,11/1/2017
Yash Palrecha,yp,30,100,6,2,0.4,11/2/2017
Yash Palrecha,yp,50,20,21,5,0.4,11/3/2017
Yash Palrecha,yp,30,20,11,2,0.4,11/4/2017
Yash Palrecha,yp,40,10,6,2,0.4,11/5/2017
Yash Palrecha,yp,20,11,7,3,0.4,11/6/2017
Yash Palrecha,yp,0,14,4,4,0.4,11/7/2017
Yash Palrecha,yp,50,100,9,2,0.4,11/8/2017
Yash Palrecha,yp,10,30,3,3,0.4,11/9/2017
Yash Palrecha,yp,10,10,5,2,0.4,11/10/2017
Yash Palrecha,yp,20,10,6,3,0.4,11/11/2017
Yash Palrecha,yp,30,11,7,2,0.4,11/12/2017
Yash Palrecha,yp,20,22,8,1,0.4,11/13/2017
Yash Palrecha,yp,40,22,9,5,0.4,11/14/2017
Yash Palrecha,yp,20,11,3,6,0.4,11/15/2017
Yash Palrecha,yp,30,22,0,4,0.4,11/16/2017
Yash Palrecha,yp,20,30,0,2,0.4,11/17/2017
Yash Palrecha,yp,20,20,0,1,0.4,11/18/2017
Yash Palrecha,yp,10,20,3,8,0.4,11/19/2017
Veena Parmar,vp,30,80,20,0,0.6,11/1/2017
Veena Parmar,vp,20,70,20,0,0.6,11/2/2017
Veena Parmar,vp,0,5,7,2,0.6,11/3/2017
Veena Parmar,vp,0,5,4,2,0.6,11/4/2017
Veena Parmar,vp,2,5,7,2,0.6,11/5/2017
Veena Parmar,vp,0,5,9,2,0.6,11/6/2017
Veena Parmar,vp,22,5,7,2,0.6,11/7/2017
Veena Parmar,vp,10,9,7,2,0.6,11/8/2017
Veena Parmar,vp,0,5,8,2,0.6,11/9/2017
Veena Parmar,vp,6,5,7,2,0.6,11/10/2017
Veena Parmar,vp,0,5,7,2,0.6,11/11/2017
Veena Parmar,vp,0,4,7,2,0.6,11/12/2017
Veena Parmar,vp,3,5,9,2,0.6,11/13/2017
Veena Parmar,vp,0,5,7,22,0.6,11/14/2017
Veena Parmar,vp,0,4,8,22,0.6,11/15/2017
Veena Parmar,vp,0,5,7,2,0.6,11/16/2017
Veena Parmar,vp,5,5,7,2,0.6,11/17/2017
Veena Parmar,vp,0,8,7,2,0.6,11/18/2017
Veena Parmar,vp,12,5,7,2,0.6,11/19/2017
